placement,placement_label,candidate,policy,time_s,mops_s
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,53.0,300.941312
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,54.0,283.639808
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,55.0,227.278848
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,56.0,206.045184
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,57.0,233.832448
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,58.0,182.19008
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,59.0,222.035968
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,60.0,180.87936
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,61.0,180.092928
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,62.0,230.424576
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,63.001,189.07888911088915
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,64.0,196.8048048048048
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,65.0,171.966464
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,66.0,239.599616
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,67.0,238.288896
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,68.0,239.86176
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,69.0,236.978176
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,70.0,238.55104
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,71.0,241.958912
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,72.001,240.1459020979021
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,73.0,245.08758358358358
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,74.0,276.037632
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,75.0,291.504128
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,76.0,307.494912
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,77.0,343.146496
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,78.0,369.360896
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,79.0,398.721024
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,80.0,368.050176
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,81.0,192.413696
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,82.0,179.830784
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,83.0,179.306496
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,84.0,193.200128
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,85.0,185.597952
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,86.0,213.385216
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,87.001,194.05464935064938
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,88.0,205.7266226226226
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,89.001,327.87641158841166
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,90.0,269.4913793793794
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,91.0,177.995776
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,92.0,306.970624
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,93.005,341.17845970149256
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,94.0,303.7708864321608
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,95.0,254.541824
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,96.0,310.116352
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,97.0,366.215168
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,98.0,226.75456
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,99.0,423.36256
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,100.0,267.38688
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,101.0,374.079488
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,102.0,317.718528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,103.0,322.699264
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,104.0,305.659904
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,105.0,210.763776
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,106.0,426.508288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,107.0,259.52256
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,108.0,305.659904
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,109.0,287.309824
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,110.0,358.875136
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,111.0,283.639808
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,112.0,285.73696
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,113.0,270.270464
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,114.0,354.156544
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,115.0,262.668288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,116.0,283.901952
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,117.0,279.18336
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,118.0,359.13728
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,119.0,365.428736
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,120.001,226.00426773226778
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,121.001,350.486528
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,122.0,301.504960960961
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,123.0,394.264576
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,124.0,191.627264
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,125.0,332.92288
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,126.0,262.930432
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,127.0,338.427904
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,128.0,251.133952
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,129.001,319.23430169830175
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,130.001,342.622208
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,131.001,259.260416
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,132.002,357.46909090909094
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,133.005,232.0876091724826
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,134.0,179.94407236180905
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,135.0,176.422912
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,136.0,216.793088
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,137.0,177.471488
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,138.0,171.70432
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,139.0,182.452224
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,140.0,176.685056
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,141.0,179.306496
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,142.0,182.976512
remote,0G local / 32G remote,stream_read_32g_remote_4kstride,on,143.0,175.898624
